ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Meta: _wp_page_template","Meta: cartflows_redirect_flow_id","Meta: cartflows_add_to_cart_text","Meta: author_name","Meta: _author_name","Meta: subject","Meta: _subject","Meta: publication","Meta: _publication","Meta: _sample_pdf","Meta: __sample_pdf"
1139,simple,,,"ইদাই ইলু বাংলা-চীনা অভিধান",1,0,visible,,"<table class=""table table-bordered"">
\n<td>প্রকাশনী</td>
\n<td class=""publisher-link"">ইদাই ইলু প্রকাশনী</td>
\n</tr>
\n<tr>
\n<td>সংস্করণ</td>
\n<td>৩য় সংস্করণ</td>
\n</tr>
\n<tr>
\n<td>পৃষ্ঠা সংখ্যা</td>
\n<td>৬৭৫</td>
\n</tr>
\n<tr>
\n<td>দেশ</td>
\n<td>বাংলাদেশ</td>
\n</tr>
\n<tr>
\n<td>ভাষা</td>
\n<td>বাংলা, চাইনিজ, ইংলিশ</td>
\n</tr>
\n</tbody>
\n</table>",,,taxable,,1,,,0,0,,,,,1,,,500,"চাইনিজ বিষয়ক বই",,,https://yidaiyilupublications.com/wp-content/uploads/2024/10/4-1.jpg,,,,,,,,,0,,default,,,"ড. মোহাম্মদ সাদী",field_66b3435ae31f3,"চাীনা ভাষা শেখার বই ",field_66b347ccc6cfc,"ইদাই ইলু প্রকাশনী",field_66b34a4ac6cfd,,
1146,simple,,,"সহজে লিখি চাইনিজ হানজি",1,0,visible,,"<table class=""table table-bordered"">
\n<tbody>
\n<tr>
\n<td>বইয়ের নাম</td>
\n<td>সহজে লিখি চাইনিজ হানজি</td>
\n</tr>
\n<tr>
\n<td>লেখক</td>
\n<td class=""author-link"">ড. মোহাম্মদ সাদী</td>
\n</tr>
\n<tr>
\n<td>আন্তর্জাতিক বই নং</td>
\n<td class=""author-link"">978-984-36-0539-9</td>
\n</tr>
\n<tr>
\n<td>প্রকাশনী</td>
\n<td class=""publisher-link"">ইদাই ইলু প্রকাশনী</td>
\n</tr>
\n<tr>
\n<td>সংস্করণ</td>
\n<td>2 য় সংস্করণ</td>
\n</tr>
\n<tr>
\n<td>পৃষ্ঠা সংখ্যা</td>
\n<td>100</td>
\n</tr>
\n<tr>
\n<td>দেশ</td>
\n<td>বাংলাদেশ</td>
\n</tr>
\n<tr>
\n<td>ভাষা</td>
\n<td>বাংলা, চাইনিজ</td>
\n</tr>
\n</tbody>
\n</table>",,,taxable,,1,,,0,0,,,,,1,,,150,খাতা,,,https://yidaiyilupublications.com/wp-content/uploads/2024/10/6-1.jpg,,,,,,,,,0,,default,,,"ড. মোহাম্মদ সাদী",field_66b3435ae31f3,"চাইনিজ অক্ষর শেখার বই",field_66b347ccc6cfc,"ইদাই ইলু প্রকাশনী",field_66b34a4ac6cfd,,
1148,simple,,,"আমার প্রথম চাইনিজ বই",1,0,visible,,"<table class=""table table-bordered"">
\n<tbody>
\n<tr>
\n<td>বইয়ের নাম</td>
\n<td>আমার প্রথম চাইনিজ বই</td>
\n</tr>
\n<tr>
\n<td>লেখক</td>
\n<td class=""author-link"">ড. মোহাম্মদ সাদী</td>
\n</tr>
\n<tr>
\n<td>আন্তর্জাতিক বই নং</td>
\n<td class=""author-link"">: 978-984-36-0543-6</td>
\n</tr>
\n<tr>
\n<td>প্রকাশনী</td>
\n<td class=""publisher-link"">ইদাই ইলু প্রকাশনী</td>
\n</tr>
\n<tr>
\n<td>সংস্করণ</td>
\n<td>৩য় সংস্করণ</td>
\n</tr>
\n<tr>
\n<td>পৃষ্ঠা সংখ্যা</td>
\n<td>৪০৬</td>
\n</tr>
\n<tr>
\n<td>দেশ</td>
\n<td>বাংলাদেশ</td>
\n</tr>
\n<tr>
\n<td>ভাষা</td>
\n<td>বাংলা, চাইনিজ, ইংলিশ</td>
\n</tr>
\n</tbody>
\n</table>",,,taxable,,1,,,0,0,,,,,1,,500,550,"চাইনিজ বিষয়ক বই",,,https://yidaiyilupublications.com/wp-content/uploads/2024/10/1-1.jpg,,,,,,,,,0,,default,,,"ড. মোহাম্মদ সাদী",field_66b3435ae31f3,"চীনা ভাষা শেখার বই",field_66b347ccc6cfc,"ইদাই ইলু প্রকাশনী",field_66b34a4ac6cfd,https://yidaiyilupublications.com/wp-content/uploads/2024/11/smak-marketing-team-Sheet1.pdf,
1153,simple,,,"চীনা শব্দ ভান্ডার (HSK1-4)",1,0,visible,,"<table class=""table table-bordered"">
\n<tbody>
\n<tr>
\n<td>বইয়ের নাম</td>
\n<td>চীনা শব্দ ভান্ডার (HSK1-4)</td>
\n</tr>
\n<tr>
\n<td>লেখক</td>
\n<td class=""author-link"">ড. মোহাম্মদ সাদী</td>
\n</tr>
\n<tr>
\n<td>আন্তর্জাতিক বই নং</td>
\n<td class=""author-link"">978-984-36-0537-5</td>
\n</tr>
\n<tr>
\n<td>প্রকাশনী</td>
\n<td class=""publisher-link"">ইদাই ইলু প্রকাশনী</td>
\n</tr>
\n<tr>
\n<td>সংস্করণ</td>
\n<td>২য় সংস্করণ</td>
\n</tr>
\n<tr>
\n<td>পৃষ্ঠা সংখ্যা</td>
\n<td>৩৫২</td>
\n</tr>
\n<tr>
\n<td>দেশ</td>
\n<td>বাংলাদেশ</td>
\n</tr>
\n<tr>
\n<td>ভাষা</td>
\n<td>বাংলা, চাইনিজ, ইংলিশ</td>
\n</tr>
\n</tbody>
\n</table>",,,taxable,,1,,,0,0,,,,,1,,500,550,"চাইনিজ বিষয়ক বই",,,https://yidaiyilupublications.com/wp-content/uploads/2024/10/2-1.jpg,,,,,,,,,0,,default,,,"ড. মোহাম্মদ সাদী",field_66b3435ae31f3,"চীনা ভাষা শব্দ শেখার বই",field_66b347ccc6cfc,"ইদাই ইলু প্রকাশনী",field_66b34a4ac6cfd,,
1156,simple,,,"চীনা বর্ণমালা",1,0,visible,,"<table class=""table table-bordered"">
\n<tbody>
\n<tr>
\n<td>বইয়ের নাম</td>
\n<td>চীনা বর্ণমালা</td>
\n</tr>
\n<tr>
\n<td>লেখক</td>
\n<td class=""author-link"">ড. মোহাম্মদ সাদী</td>
\n</tr>
\n<tr>
\n<td>আন্তর্জাতিক বই নং</td>
\n<td class=""author-link"">978-984-36-0541-2</td>
\n</tr>
\n<tr>
\n<td>প্রকাশনী</td>
\n<td class=""publisher-link"">ইদাই ইলু প্রকাশনী</td>
\n</tr>
\n<tr>
\n<td>সংস্করণ</td>
\n<td>১ম সংস্করণ</td>
\n</tr>
\n<tr>
\n<td>পৃষ্ঠা সংখ্যা</td>
\n<td>৯৬</td>
\n</tr>
\n<tr>
\n<td>দেশ</td>
\n<td>বাংলাদেশ</td>
\n</tr>
\n<tr>
\n<td>ভাষা</td>
\n<td>বাংলা, চাইনিজ</td>
\n</tr>
\n</tbody>
\n</table>",,,taxable,,1,,,0,0,,,,,1,,,80,"চাইনিজ বিষয়ক বই",,,https://yidaiyilupublications.com/wp-content/uploads/2024/10/6.jpg,,,,,,,,,0,,default,,,"ড. মোহাম্মদ সাদী",field_66b3435ae31f3,"চাইনিজ বর্ণমালা শেখার বই",field_66b347ccc6cfc,"ইদাই ইলু প্রকাশনী",field_66b34a4ac6cfd,,
1158,simple,,,"হীরক সম্ভাবনার চীনদেশ",1,0,visible,,"<table class=""table table-bordered"">
\n<tbody>
\n<tr>
\n<td>বইয়ের নাম</td>
\n<td>হীরক সম্ভানার চীনদেশ</td>
\n</tr>
\n<tr>
\n<td>লেখক</td>
\n<td class=""author-link"">ড. মোহাম্মদ সাদী</td>
\n</tr>
\n<tr>
\n<td>আন্তর্জাতিক বই নং</td>
\n<td class=""author-link"">978-984-36-0538-2</td>
\n</tr>
\n<tr>
\n<td>প্রকাশনী</td>
\n<td class=""publisher-link"">ইদাই ইলু প্রকাশনী</td>
\n</tr>
\n<tr>
\n<td>সংস্করণ</td>
\n<td>১ম সংস্করণ</td>
\n</tr>
\n<tr>
\n<td>পৃষ্ঠা সংখ্যা</td>
\n<td>২৭৫</td>
\n</tr>
\n<tr>
\n<td>দেশ</td>
\n<td>বাংলাদেশ</td>
\n</tr>
\n<tr>
\n<td>ভাষা</td>
\n<td>বাংলা</td>
\n</tr>
\n</tbody>
\n</table>",,,taxable,,1,,,0,0,,,,,1,,,400,"চাইনিজ বিষয়ক বই",,,https://yidaiyilupublications.com/wp-content/uploads/2024/10/8.jpg,,,,,,,,,0,,default,,,"ড. মোহাম্মদ সাদী",field_66b3435ae31f3,"চীন দেশ পরিচীতি বই",field_66b347ccc6cfc,"ইদাই ইলু প্রকাশনী",field_66b34a4ac6cfd,,
1162,simple,,,"সরল চীনা ব্যাকরণ",1,0,visible,,"<table class=""table table-bordered"">
\n<tbody>
\n<tr>
\n<td>বইয়ের নাম</td>
\n<td>সরল চীনা ব্যাকরণ</td>
\n</tr>
\n<tr>
\n<td>লেখক</td>
\n<td class=""author-link"">ড. মোহাম্মদ সাদী</td>
\n</tr>
\n<tr>
\n<td>আন্তর্জাতিক বই নং</td>
\n<td class=""author-link"">978-984-36-0536-8</td>
\n</tr>
\n<tr>
\n<td>প্রকাশনী</td>
\n<td class=""publisher-link"">ইদাই ইলু প্রকাশনী</td>
\n</tr>
\n<tr>
\n<td>সংস্করণ</td>
\n<td>২য় সংস্করণ</td>
\n</tr>
\n<tr>
\n<td>পৃষ্ঠা সংখ্যা</td>
\n<td>২৭৬</td>
\n</tr>
\n<tr>
\n<td>দেশ</td>
\n<td>বাংলাদেশ</td>
\n</tr>
\n<tr>
\n<td>ভাষা</td>
\n<td>বাংলা, চাইনিজ</td>
\n</tr>
\n</tbody>
\n</table>",,,taxable,,1,,,0,0,,,,,1,,,350,"চাইনিজ বিষয়ক বই",,,https://yidaiyilupublications.com/wp-content/uploads/2024/10/1.jpg,,,,,,,,,0,,default,,,"ড. মোহাম্মদ সাদী",field_66b3435ae31f3,"চীনা ভাষার ব্যাকরণ",field_66b347ccc6cfc,"ইদাই ইলু প্রকাশনী",field_66b34a4ac6cfd,,
1165,simple,,,"ইদাই ইলু খাতা",1,0,visible,,"<table class=""table table-bordered"">
\n<tbody>
\n<tr>
\n<td>বইয়ের নাম</td>
\n<td>ইদাই ইলু খাতা</td>
\n</tr>
\n<tr>
\n<td></td>
\n<td class=""author-link""></td>
\n</tr>
\n<tr>
\n<td></td>
\n<td class=""author-link""></td>
\n</tr>
\n<tr>
\n<td>প্রকাশনী</td>
\n<td class=""publisher-link"">ইদাই ইলু প্রকাশনী</td>
\n</tr>
\n<tr>
\n<td></td>
\n<td></td>
\n</tr>
\n<tr>
\n<td>পৃষ্ঠা সংখ্যা</td>
\n<td>৩০০</td>
\n</tr>
\n<tr>
\n<td>দেশ</td>
\n<td>বাংলাদেশ</td>
\n</tr>
\n<tr>
\n<td>ভাষা</td>
\n<td>বাংলা, চাইনিজ, ইংলিশ</td>
\n</tr>
\n</tbody>
\n</table>",,,taxable,,1,,,0,0,,,,,1,,,100,খাতা,,,https://yidaiyilupublications.com/wp-content/uploads/2024/10/3-1.jpg,,,,,,,,,0,,default,,,"ড. মোহাম্মদ সাদী",field_66b3435ae31f3,খাতা,field_66b347ccc6cfc,"ইদাই ইলু প্রকাশনী",field_66b34a4ac6cfd,,
1208,simple,,,"কারিগরদের ইংলিশ - Technician's English",1,0,visible,,"<table class=""table table-bordered"">
\n<tbody>
\n<tr>
\n<td>বইয়ের নাম</td>
\n<td>কারিগরদের ইংলিশ</td>
\n</tr>
\n<tr>
\n<td>লেখক</td>
\n<td class=""author-link"">লিমা আফরোজ</td>
\n</tr>
\n<tr>
\n<td>আন্তর্জাতিক বই নং</td>
\n<td class=""author-link""></td>
\n</tr>
\n<tr>
\n<td>প্রকাশনী</td>
\n<td class=""publisher-link"">ইদাই ইলু প্রকাশনী</td>
\n</tr>
\n<tr>
\n<td>সংস্করণ</td>
\n<td>১ম সংস্করণ</td>
\n</tr>
\n<tr>
\n<td>পৃষ্ঠা সংখ্যা</td>
\n<td>৯০</td>
\n</tr>
\n<tr>
\n<td>দেশ</td>
\n<td>বাংলাদেশ</td>
\n</tr>
\n<tr>
\n<td>ভাষা</td>
\n<td>বাংলা, ইংলিশ</td>
\n</tr>
\n</tbody>
\n</table>",,,taxable,,1,,,0,0,,,,,1,,,100,"ইংলিশ বিষয়ক বই",,,https://yidaiyilupublications.com/wp-content/uploads/2024/10/7.jpg,,,,,,,,,0,,default,,,"লিমা আফরোজ ",field_66b3435ae31f3,"ইংলিশ শেখার বই",field_66b347ccc6cfc,"ইদাই ইলু প্রকাশনী",field_66b34a4ac6cfd,https://yidaiyilupublications.com/wp-content/uploads/2024/11/smak-marketing-team-Sheet1.pdf,
1297,simple,,,"পথকলি চাইনিজ",1,0,visible,,"<table class=""table table-bordered"">
\n<tbody>
\n<tr>
\n<td>বইয়ের নাম</td>
\n<td>পথকলি চাইনিজ</td>
\n</tr>
\n<tr>
\n<td>লেখক</td>
\n<td class=""author-link"">ড. মোহাম্মদ সাদী</td>
\n</tr>
\n<tr>
\n<td>আন্তর্জাতিক বই নং</td>
\n<td class=""author-link"">978-984-36-0674-7</td>
\n</tr>
\n<tr>
\n<td>প্রকাশনী</td>
\n<td class=""publisher-link"">ইদাই ইলু প্রকাশনী</td>
\n</tr>
\n<tr>
\n<td>সংস্করণ</td>
\n<td>১ম সংস্করণ</td>
\n</tr>
\n<tr>
\n<td>পৃষ্ঠা সংখ্যা</td>
\n<td>১৯২</td>
\n</tr>
\n<tr>
\n<td>দেশ</td>
\n<td>বাংলাদেশ</td>
\n</tr>
\n<tr>
\n<td>ভাষা</td>
\n<td>বাংলা, চাইনিজ</td>
\n</tr>
\n</tbody>
\n</table>",,,taxable,,1,,,0,0,,,,,1,,150,300,"চাইনিজ বিষয়ক বই",,,https://yidaiyilupublications.com/wp-content/uploads/2024/11/20241124_155608-scaled.jpg,,,,,,,,,0,,default,,,"ড. মোহাম্মদ সাদী",field_66b3435ae31f3,"ইংলিশ শেখার বই",field_66b347ccc6cfc,"ইদাই ইলু প্রকাশনী",field_66b34a4ac6cfd,https://yidaiyilupublications.com/wp-content/uploads/2024/11/smak-marketing-team-Sheet1.pdf,field_679367356ff11
